cluster	gene	logfoldchange	pval	pval_adj	score
0	RPL32	0.693186	2.4949875479214702e-169	3.609747984332783e-165	27.737078
0	RPS12	0.85290956	2.9632698366727044e-168	2.1436293998490343e-164	27.647835
0	RPS27	0.87254673	1.506014933717876e-167	7.26300802034341e-164	27.589046
0	RPS6	0.748388	7.345996617755707e-164	2.657046976642239e-160	27.279902
0	RPS25	0.9570707	1.9598110183971813e-158	4.72575763569507e-155	26.818624
0	RPL13	0.67337316	4.657323017962657e-152	9.626021346269104e-149	26.266289
0	RPL31	0.95039535	4.941930981810215e-147	8.937482180603774e-144	25.822615
0	RPS14	0.6471307	2.396626744973489e-141	3.4674395746276435e-138	25.311335
0	MALAT1	0.89823115	6.940708257218872e-141	9.128924278676603e-138	25.269356
0	RPS3	0.7031911	2.3062627363201583e-140	2.780584105756671e-137	25.221865
0	RPLP2	0.7417094	2.345359860880614e-139	2.6102051128631327e-136	25.12988
0	RPL9	0.9419409	5.3618483850260675e-138	5.1716814956371425e-135	25.005238
0	RPS3A	0.95300937	3.2543318682295686e-133	2.942729591846587e-130	24.561563
0	RPS27A	1.0657676	1.6109672832418084e-131	1.371027920820146e-128	24.402445
0	RPL3	0.6811563	1.091265356396884e-126	8.77134843130562e-124	23.943066
0	RPL30	0.814841	6.984531349790367e-125	5.318536819408791e-122	23.769035
0	RPL21	0.7176708	3.679747582823007e-124	2.661929401414163e-121	23.699144
0	RPS15A	0.79331243	6.4519649744863246e-124	4.445096630993721e-121	23.67548
0	RPS13	0.89034617	6.838630962408824e-123	4.4973323983695846e-120	23.575733
0	RPL27A	0.6976305	1.8981589834671627e-116	1.0985025669121165e-113	22.938982
0	LDHB	1.6682484	7.880202656463477e-113	4.222621186433836e-110	22.57358
0	RPL13A	0.56349266	1.2390159801469987e-112	6.40217257170242e-110	22.553562
0	RPS29	1.0727091	7.752869386966928e-111	3.738950476354584e-108	22.369774
0	RPS20	0.91229075	1.9442558170219864e-110	9.074030051830355e-108	22.328718
0	RPL11	0.51771855	1.0539972324259487e-109	4.7653849871058204e-107	22.25304
1	LTB	2.3659253	7.070446235527515e-145	1.0229521613561209e-140	25.629976
1	LDHB	1.9539218	7.144866160050796e-127	5.1685961801807454e-123	23.960716
1	IL32	2.3705935	1.05140719573456e-120	5.070586435962538e-117	23.361567
1	IL7R	2.3360054	8.815448948426212e-107	3.1885478846457607e-103	21.949192
1	CD3D	2.1716928	4.177810481663464e-103	1.20889124097414e-99	21.560968
1	TPT1	0.69328195	1.913311864027577e-90	3.460224506093873e-87	20.166882
1	RPS12	0.65614736	2.966502946444516e-89	4.7688182921288065e-86	20.030834
1	CD3E	1.8702917	3.6011655439796863e-79	4.7365148263907364e-76	18.839237
1	RPS18	0.5132071	6.631022116683185e-72	5.99610174901077e-69	17.932034
1	RPS25	0.71545595	3.7295541155188555e-70	2.997732719073711e-67	17.706596
1	RPSA	0.8819634	6.2737137966235125e-68	4.777267958397315e-65	17.415682
1	JUNB	1.0769413	7.744533778956301e-66	5.335614986378084e-63	17.137863
1	RPLP0	0.81509197	1.5558744404646269e-65	1.023199609301919e-62	17.097244
1	EEF1A1	0.52570105	1.4669136932777029e-64	9.227524919279046e-62	16.965956
